,Content ID,Type_x,Date,Sentiment,Score,Type_y,Category,URL,months
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07,negative,0,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17,negative,10,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-06
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18,negative,15,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06,negative,0,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-01
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23,positive,30,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-08
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07,neutral,35,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-12
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11,positive,70,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27,negative,5,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-01
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01,neutral,35,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07,neutral,20,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02,negative,15,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01,positive,30,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07,negative,5,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-10
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03,negative,15,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-09
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24,positive,75,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23,neutral,35,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-09
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24,neutral,20,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22,positive,30,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-05
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20,neutral,35,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11,negative,12,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13,positive,50,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-06
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11,positive,60,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02,negative,12,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-03
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27,negative,5,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-06
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09,negative,5,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-05
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04,positive,70,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-08
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28,positive,75,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-08
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20,negative,15,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07,positive,30,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-03
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24,neutral,20,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-05
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24,positive,75,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-01
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09,negative,0,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02,positive,75,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04,positive,30,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09,negative,10,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29,negative,15,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-09
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13,positive,70,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14,positive,30,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-07
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23,neutral,20,photo,studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-08
